iter	Passed	Remaining
0	180	180744
1	182	91126
2	184	61246
3	185	46281
4	187	37389
5	189	31406
6	191	27115
7	192	23879
8	194	21396
9	196	19408
10	197	17772
11	199	16397
12	200	15239
13	202	14243
14	203	13363
15	204	12590
16	206	11930
17	207	11317
18	208	10766
19	209	10271
20	210	9818
21	211	9403
22	212	9022
23	213	8667
24	213	8343
25	214	8039
26	215	7760
27	215	7496
28	216	7256
29	217	7040
30	218	6831
31	219	6631
32	219	6444
33	220	6267
34	221	6099
35	221	5944
36	222	5798
37	223	5657
38	224	5530
39	225	5406
40	225	5282
41	226	5169
42	227	5064
43	228	4961
44	229	4861
45	229	4766
46	230	4675
47	231	4587
48	232	4503
49	232	4424
50	233	4345
51	234	4271
52	235	4199
53	235	4129
54	236	4066
55	237	3999
56	237	3935
57	238	3875
58	239	3817
59	240	3760
60	240	3704
61	241	3649
62	241	3597
63	242	3547
64	243	3497
65	243	3448
66	244	3403
67	244	3353
68	245	3309
69	246	3268
70	246	3227
71	247	3187
72	248	3149
73	248	3111
74	249	3075
75	249	3038
76	250	3002
77	251	2968
78	251	2934
79	252	2900
80	252	2867
81	253	2836
82	254	2806
83	254	2779
84	255	2749
85	256	2721
86	256	2690
87	256	2663
88	257	2635
89	257	2608
90	258	2582
91	259	2556
92	259	2532
93	260	2507
94	260	2483
95	261	2460
96	261	2438
97	262	2416
98	263	2395
99	263	2374
100	264	2353
101	264	2330
102	265	2310
103	265	2290
104	266	2271
105	267	2252
106	267	2233
107	268	2216
108	268	2198
109	269	2181
110	270	2164
111	270	2146
112	271	2129
113	271	2112
114	272	2095
115	272	2078
116	273	2061
117	273	2046
118	274	2030
119	274	2014
120	275	1999
121	275	1984
122	276	1968
123	276	1953
124	277	1939
125	277	1925
126	278	1911
127	278	1897
128	278	1883
129	279	1870
130	280	1857
131	280	1845
132	281	1832
133	281	1820
134	282	1808
135	282	1797
136	283	1785
137	283	1773
138	284	1762
139	285	1750
140	285	1739
141	286	1728
142	286	1717
143	286	1705
144	287	1695
145	288	1684
146	288	1675
147	289	1665
148	289	1655
149	290	1644
150	290	1634
151	291	1625
152	291	1615
153	292	1606
154	292	1596
155	293	1587
156	293	1578
157	294	1569
158	295	1560
159	295	1552
160	296	1543
161	296	1535
162	297	1526
163	297	1518
164	298	1509
165	298	1501
166	299	1493
167	299	1484
168	300	1476
169	300	1468
170	301	1460
171	301	1453
172	302	1445
173	302	1438
174	303	1430
175	303	1423
176	304	1415
177	304	1408
178	305	1400
179	305	1393
180	306	1385
181	306	1378
182	307	1371
183	307	1364
184	308	1357
185	308	1351
186	309	1345
187	309	1338
188	310	1331
189	310	1325
190	311	1318
191	311	1312
192	312	1306
193	312	1300
194	313	1293
195	313	1287
196	314	1281
197	314	1275
198	315	1269
199	316	1264
200	316	1258
201	317	1252
202	317	1247
203	318	1241
204	318	1235
205	319	1230
206	319	1224
207	320	1219
208	320	1213
209	321	1208
210	321	1203
211	322	1198
212	322	1193
213	323	1188
214	323	1182
215	324	1177
216	324	1172
217	325	1167
218	326	1162
219	326	1157
220	327	1152
221	327	1147
222	328	1142
223	328	1138
224	329	1133
225	329	1129
226	330	1124
227	330	1119
228	331	1114
229	331	1110
230	332	1105
231	332	1101
232	333	1096
233	333	1092
234	334	1087
235	334	1083
236	335	1078
237	335	1074
238	336	1070
239	336	1066
240	337	1062
241	337	1058
242	338	1053
243	338	1049
244	339	1045
245	340	1042
246	340	1038
247	341	1034
248	341	1030
249	342	1026
250	342	1022
251	343	1018
252	343	1015
253	344	1011
254	344	1007
255	345	1003
256	345	1000
257	346	996
258	346	992
259	347	988
260	347	985
261	348	981
262	348	977
263	349	974
264	350	971
265	350	967
266	351	965
267	352	961
268	352	958
269	353	954
270	353	951
271	354	947
272	354	944
273	355	940
274	355	937
275	356	933
276	356	930
277	357	927
278	357	924
279	358	921
280	358	918
281	359	914
282	359	911
283	360	908
284	360	905
285	361	902
286	361	899
287	362	896
288	363	893
289	363	890
290	364	887
291	364	884
292	365	881
293	366	878
294	366	875
295	367	873
296	367	870
297	368	867
298	368	864
299	369	861
300	369	858
301	370	856
302	370	853
303	371	850
304	371	847
305	372	844
306	372	841
307	373	838
308	373	836
309	374	833
310	374	830
311	375	827
312	375	824
313	376	822
314	377	820
315	377	817
316	378	814
317	378	812
318	379	809
319	379	807
320	380	804
321	380	802
322	381	799
323	381	796
324	382	794
325	382	791
326	383	789
327	383	786
328	384	783
329	384	781
330	385	779
331	386	776
332	386	774
333	387	771
334	387	769
335	388	766
336	388	764
337	389	762
338	389	759
339	390	757
340	390	755
341	391	753
342	391	750
343	392	748
344	392	746
345	393	743
346	394	741
347	394	739
348	395	736
349	395	734
350	395	732
351	396	729
352	397	727
353	397	725
354	398	723
355	398	721
356	399	719
357	399	717
358	400	714
359	400	712
360	401	710
361	401	708
362	402	706
363	402	703
364	403	702
365	404	700
366	404	697
367	405	695
368	405	693
369	406	691
370	406	689
371	407	687
372	407	685
373	408	683
374	408	681
375	409	679
376	409	677
377	410	675
378	410	673
379	411	671
380	411	669
381	412	667
382	412	665
383	413	663
384	413	661
385	414	659
386	414	657
387	415	655
388	415	653
389	416	651
390	416	649
391	417	647
392	418	645
393	418	643
394	418	641
395	419	639
396	419	637
397	420	635
398	420	633
399	421	632
400	421	630
401	422	628
402	423	626
403	423	625
404	424	623
405	424	621
406	425	619
407	425	617
408	426	616
409	426	614
